"Configuration","Configuration"
"General options","Algemene instellingen"
"Is enabled","Geactiveerd"
"Display options","Weergave opties"
"Chat label","Venstertekst"
"LiveChat configuration","LiveChat Configuratie"
"LiveChat operators","LiveChat Operators"
"Operators","Operator"
"Operators list","Lijst met Operators"
"Create new operator","Maak een nieuwe operator aan"
"Operator's data","Gegevens Operator"
"Password","Wachtwoord"
"Name","Naam"
"Enabled","Geactiveerd"
"Disabled","Gedeactiveerd"
"Save","Opslaan"
"Create","Aanmaken"
"Operator %s has been successfully created.","Nieuwe Operator %s is succelvol aangemaakt."
"Operator %s has been successfully modified.","Gegevens Operator %s zijn succesvol aangepast."
"Operator %s has been successfully deleted.","Operator %s is succesvol verwijderd."
"Edit operator","Gegevens Operator aanpassen"
"disabled","Gedeactiveerd"
"Send","Verstuur"
"Chat refresh frequency","Frequentie interval Chat"
"Chat refresh decay","Frequentie verversing Chat"
"Image style","Chatlogo"
"Get chat list","Raadpleeg chatlijst"
"Get chat messages messages","Raadpleeg chatsessies"
"Send message to customer","Verstuur bericht naar klant"
"Operator disconnection","Verbinding aflsuiten Operator"
"Operator connection","Verbinding maken Operator"
"Title label","Live Chat"
"Unavailable message","Chat niet beschikbaar"
"Default customer name","Standaard naam klant"
"Get new messages","Ontvang nieuwe berichten"
"Get new sessions","Onvang nieuwe sessies"
"System name","Standaard naam systeem"
"System wait message","Bericht tijdens wacht"
"Customers chat list","Lijst klanten"
"Customer name","Naam klant"
"Started at","Gestart op"
"Dispatched to","Gekoppeld aan"
"Store","Winkel"
"State","Status"
"Not dispatched","Niet gekoppeld"
"Closed","Gesloten"
"Close","Sluiten"
"Open","Open"
"Are you sure ?","Weet u het zeker ?"
"Total of %d record(s) were successfully deleted","Totaal van %d gegevens zijn succesvol verwijderd."
"Please select chat(s)","Selecteer chatsessies"
"Operators list","Lijst met operators"
"Status","Status"
"Online","Online"
"Disconnected","Disconnected"
"Autor","Auteur"
"Message","Bericht"
"Placed at","Geplaatst op"
"Please select message(s)","Selecteer berichten"
"Delete","Verwijder"
"-- Session terminated --","-- Chatsessie beeindigd --"
"Total of %d record(s) were successfully closed","Totaal van %d sessies zijn succesvol gesloten"
"There is no chat available for operator %s","Er zijn geen sessies beschikbaar voor Operator %s"
"This session is closed, you cannot send message.","De geselecteerde sessie is gesloten, u kunt geen berichten verzenden"
"Access denied for %s","Toegang geweigerd voor %s"
"Operator access","Toegang Operator"
"Operator %s is now disconnected and no longer appear online.","Verbinding met Operator %s is verbroken, deze verschijnt niet langer online"
"Operator %s has just been created configure the store allowed for him <a href=\'%s\'>here</a>.","Selecteer winkels met toegang voor Operator %s<a href=\'%s\'>hier</a>"
"Admin refresh rate","Verversfrequentie admin"
"Behaviour","Gedrag"
"On Operator disconnect","Bij verbreken verbinding Operator"
"On chat session close","Bij verbreken van sessie"
"On customer connexion","Bij verbinding met klant"
"Close dispatched chat session","Sluit toegewezen sessie"
"Undispatch non-closed chat session","Ontkoppel niet gesloten chatsessie"
"Send a close message","Bericht bij sluiten chatsessie"
"Allow to reopen a closed chat session","Toestaan om gesloten chatsessie te heropenen"
"Replace the chat session creator name","Vervang naam bij chatsessie"
"Replace all customer's messages autor name","Vervang alle namen in sessie"
"When the customer sends a message","Wanneer klant een bericht verstuurd"
"System message when session is automatically created","Systeembericht bij automatische verbinding"
"Chat session creation","Aanmaak chatsessie"
"When customer send his first message","Wanneer klant eerste bericht verstuurd"
"Automatically create a new chatsession for everyone","Automatisch sessie openen voor elke bezoeker"
"Automatically create a new chat session for every customer logged in","Automatisch sessie openen voor elke ingelogde klant"
"Customer url","Url van klant"
